#{"t_start": 1703935751.442305, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
715.0,2929,4604.193182
300.0,2637,4609.251049
310.0,2483,4614.045951
415.0,2649,4619.07695
395.0,2763,4624.300903
255.0,2661,4629.380124
245.0,2729,4641.665634
275.0,2761,4646.96705
365.0,2821,4652.372881
345.0,2631,4657.390005
270.0,2295,4661.734679
405.0,2925,4667.331809
295.0,2593,4672.323092
355.0,2511,4677.121012
345.0,2603,4682.07271
285.0,2839,4687.477911
395.0,2963,4693.03352
715.0,3923,4700.429616
545.0,3885,4707.806243
495.0,3259,4714.022775
385.0,2815,4719.368158
380.0,2699,4724.572573
470.0,3113,4730.486129
335.0,2779,4735.84905
80.0,1371,4738.447942
230.0,2005,4742.236074
345.0,2133,4746.297135
470.0,3999,4753.91147
315.0,2603,4758.858511
715.0,3473,4765.374036
275.0,2603,4770.336457
300.0,2851,4775.79082
485.0,3913,4783.197114
700.0,4193,4791.159212
685.0,4165,4799.122293
245.0,2001,4802.867743
265.0,2011,4806.698291
580.0,3905,4814.197717
145.0,2129,4818.283362
190.0,2535,4823.125777
370.0,2759,4828.391871
580.0,2591,4833.34862
440.0,4077,4848.308712
205.0,2089,4852.328467
685.0,2771,4857.535127
620.0,4055,4865.361999
605.0,3297,4871.662079
615.0,3473,4878.372264
190.0,2551,4883.18936
355.0,2695,4888.305992
130.0,1879,4891.868208
250.0,2177,4896.027599
235.0,2107,4900.064512
295.0,2643,4905.134118
100.0,3209,4911.318885
290.0,2219,4915.609393
420.0,3049,4921.381933
265.0,3469,4927.996033
410.0,3511,4934.733283
205.0,2569,4939.663142
330.0,3405,4946.168052
435.0,2947,4951.775448
505.0,2821,4957.176805
180.0,2579,4962.129629
315.0,2591,4967.059378
295.0,2667,4972.219251
330.0,3139,4978.235636
875.0,2625,4983.235802
340.0,2663,4988.290155
215.0,1807,4991.773604
320.0,3065,4997.616241
250.0,2669,5002.746988
625.0,2582,5007.69482
225.0,2325,5012.122105
440.0,2467,5016.889501
425.0,2759,5022.106238
145.0,1741,5025.41425
335.0,3049,5031.237643
380.0,2878,5044.618753
345.0,2519,5049.390239
575.0,4491,5057.894816
545.0,3521,5064.579232
355.0,3301,5070.919355
505.0,2585,5075.859648
275.0,2381,5080.399326
515.0,3693,5087.520482
295.0,2675,5092.759722
575.0,3989,5100.400498
250.0,2337,5104.888978
315.0,2233,5109.144295
370.0,2735,5114.379439
400.0,3301,5120.692346
740.0,4447,5129.17563
500.0,3979,5136.789708
600.0,3995,5144.401961
800.0,3979,5151.965659
450.0,2961,5157.614186
670.0,3681,5164.671371
320.0,2631,5169.696231
370.0,2465,5174.412406
305.0,2419,5179.042287
465.0,3769,5186.203861
540.0,3533,5192.946457
220.0,2211,5197.19724
320.0,2355,5201.667001
320.0,2731,5206.914171
745.0,3737,5214.115155
265.0,1979,5217.866479
275.0,2812,5223.210355
505.0,3039,5229.019909
355.0,2907,5234.503668
245.0,2953,5247.86865
800.0,5467,5258.279572
290.0,2211,5262.43668
675.0,3473,5269.0379
355.0,2699,5274.267639
580.0,3550,5280.986648
380.0,2503,5285.768776
350.0,2455,5290.501616
315.0,2263,5294.803462
385.0,3457,5301.403453
385.0,4107,5309.199867
330.0,2669,5314.249989
320.0,2927,5319.856184
335.0,2573,5324.748055
300.0,2545,5329.617507
420.0,2622,5334.681786
430.0,2783,5339.994249
405.0,3221,5346.163384
370.0,2809,5351.562199
150.0,2179,5355.668699
580.0,3891,5363.048234
160.0,1463,5365.820402
215.0,1963,5369.538996
300.0,2429,5374.155851
370.0,2641,5379.168805
420.0,3067,5384.979773
600.0,4713,5394.011847
445.0,3339,5400.397847
365.0,3069,5406.252858
550.0,3927,5413.673872
500.0,2499,5418.405019
610.0,4085,5426.099282
420.0,3163,5432.110105
545.0,3897,5447.280747
460.0,2921,5452.889136
380.0,2955,5458.529501
230.0,1945,5462.233578
390.0,2541,5467.10805
310.0,2257,5471.40813
600.0,4005,5479.013862
300.0,2961,5484.726905
325.0,2653,5489.788641
390.0,2397,5494.342174
220.0,2519,5499.163032
600.0,3117,5505.125934
800.0,5963,5516.603358
505.0,2871,5521.986046
750.0,3271,5528.2374
420.0,2796,5533.581719
360.0,2385,5538.072998
375.0,3009,5543.850871
600.0,4677,5552.756
140.0,1987,5556.549045
260.0,2725,5561.698877
210.0,1873,5565.25275
335.0,3503,5571.994661
700.0,3185,5578.064305
330.0,2873,5583.526135
545.0,3371,5589.910061
270.0,2704,5595.051246
165.0,1943,5598.779837
285.0,2149,5602.866094
600.0,2641,5607.892292
540.0,2584,5612.828981
190.0,1841,5616.298657
395.0,3287,5622.502464
425.0,2385,5627.044939
450.0,2709,5632.202084
465.0,3051,5638.034805
465.0,2929,5651.497866
970.0,5661,5662.266641
845.0,3877,5669.631514
650.0,2909,5675.156913
395.0,2923,5680.68156
365.0,2821,5685.993366
345.0,2655,5691.017095
490.0,3831,5698.297639
455.0,3935,5705.796891
385.0,2457,5710.453771
335.0,2613,5715.394861
500.0,4311,5723.627302
575.0,3223,5729.722237
520.0,3201,5735.798624
375.0,4825,5744.998991
490.0,2409,5749.577644
740.0,4321,5757.866643
350.0,2711,5763.026327
425.0,2611,5767.990571
425.0,3545,5774.758216
165.0,1815,5778.207462
305.0,2741,5783.448716
365.0,2555,5788.304698
540.0,3041,5794.121162
430.0,2607,5799.090329
335.0,3519,5805.923188
555.0,3857,5813.366987
385.0,3003,5819.087864
410.0,2499,5823.820729
365.0,2365,5828.307401
600.0,4213,5836.271236
575.0,4253,5852.520253
520.0,3029,5858.32629
355.0,3017,5864.070472
335.0,2969,5869.761994
470.0,3683,5876.883707
440.0,4131,5884.799509
500.0,3661,5891.842423
465.0,3241,5898.032656
470.0,3375,5904.464162
455.0,3949,5912.118642
490.0,3235,5918.253127
345.0,2471,5922.943446
135.0,1845,5926.44401
360.0,2865,5931.989978
500.0,3967,5939.55501
325.0,2967,5945.234194
345.0,2357,5949.748985
470.0,2419,5954.410393
545.0,2653,5959.474529
340.0,2489,5964.190139
800.0,4741,5973.213932
305.0,2801,5978.523268
370.0,2881,5984.0544
530.0,3029,5989.842342
235.0,3333,5996.302166
600.0,4073,6004.008677
360.0,2463,6008.723958
195.0,1881,6012.27672
495.0,3091,6018.187562
615.0,4479,6026.738994
330.0,4071,6034.493703
305.0,2133,6038.581547
270.0,2315,6052.27347
290.0,2427,6056.918479
600.0,3757,6063.974808
420.0,3240,6070.142414
325.0,2233,6074.426821
305.0,2479,6079.18631
575.0,3594,6086.015003
420.0,3983,6093.576268
475.0,3385,6100.024056
305.0,2655,6105.104114
315.0,3007,6110.896914
665.0,4103,6118.736832
120.0,2533,6123.530242
420.0,3755,6130.647606
370.0,3501,6137.374053
285.0,3127,6143.308185
265.0,2427,6147.924739
330.0,2437,6152.567506
400.0,3220,6158.70231
350.0,2625,6163.697319
465.0,3095,6169.513451
275.0,2279,6173.897923
370.0,3325,6180.24818
20.0,1207,6182.517064
345.0,3081,6188.446365
660.0,4085,6196.197303
305.0,3347,6202.652754
275.0,2683,6207.75282
465.0,3843,6215.125255
315.0,2507,6219.898727
340.0,3557,6226.705746
775.0,3634,6233.703809
600.0,3893,6241.112571
740.0,4035,6257.950744
575.0,4183,6265.975606
575.0,5683,6276.927975
315.0,2628,6282.01468
320.0,2577,6286.978224
160.0,1735,6290.347349
500.0,3301,6296.765375
175.0,1955,6300.513631
500.0,4997,6310.15239
685.0,3581,6316.934351
520.0,4241,6325.040661
570.0,4487,6333.557662
265.0,2909,6339.079836
335.0,2700,6344.188383
580.0,3099,6350.064794
410.0,2863,6355.600059
330.0,3191,6361.7221
435.0,2627,6366.735376
335.0,2693,6371.895713
310.0,2053,6375.814485
360.0,2429,6380.494537
320.0,2981,6386.197744
250.0,3421,6392.752853
445.0,2845,6398.222224
305.0,3595,6405.123018
325.0,3283,6411.503475
520.0,3559,6418.278858
445.0,3585,6425.136679
165.0,2543,6430.016029
470.0,3373,6436.434332
350.0,3109,6442.318425
390.0,2851,6447.740519
515.0,3578,6461.810138
275.0,1861,6465.340306
740.0,3533,6472.132325
195.0,1547,6475.05092
470.0,3667,6482.039957
295.0,2479,6486.774477
425.0,3577,6493.587684
235.0,2413,6498.19504
470.0,3383,6504.638448
290.0,2983,6510.326949
490.0,2829,6515.692452
420.0,3061,6521.581383
465.0,4213,6529.578319
265.0,2289,6534.011596
250.0,2645,6539.066444
215.0,2039,6542.947294
480.0,2883,6548.451028
330.0,2741,6553.73123
235.0,2757,6558.990516
515.0,3567,6565.766572
410.0,2745,6570.988281
425.0,3399,6577.508735
450.0,3725,6584.53826
365.0,2757,6589.807248
515.0,2759,6595.137682
650.0,3441,6601.751159
400.0,2369,6606.301606
405.0,3011,6612.034605
550.0,3327,6618.349318
445.0,2403,6622.978218
555.0,2387,6627.494159
315.0,2351,6631.960698
325.0,2831,6637.367348
485.0,2463,6642.028759
545.0,3217,6648.117856
420.0,3300,6662.285373
275.0,3395,6668.828415
450.0,3855,6676.241989
415.0,3255,6682.412801
485.0,3357,6688.842281
345.0,2187,6693.052454
380.0,2909,6698.599399
570.0,3847,6705.926407
335.0,3071,6711.87709
330.0,2539,6716.751004
420.0,2241,6721.077564
315.0,2611,6726.066188
500.0,3045,6731.849159
320.0,2469,6736.547583
440.0,3197,6742.672725
350.0,2647,6747.739825
260.0,2063,6751.697962
270.0,2325,6756.119989
330.0,2589,6761.114177
425.0,3377,6767.509932
190.0,1557,6770.454503
485.0,2705,6775.724659
425.0,2981,6781.41526
470.0,3933,6788.916873
580.0,3907,6796.398851
260.0,2301,6800.804345
490.0,3215,6806.920639
190.0,1839,6810.394407
375.0,3331,6816.771211
420.0,3567,6823.650404
320.0,2497,6828.416398
545.0,3323,6834.789293
405.0,3549,6841.56994
330.0,2529,6846.438565
650.0,3481,6861.939398
295.0,2361,6866.424804
460.0,3289,6872.711355
370.0,3031,6878.528545
870.0,4001,6886.191183
425.0,2937,6891.843307
195.0,2039,6895.797662
525.0,3559,6902.583489
325.0,2651,6907.655767
290.0,2363,6912.155577
240.0,1929,6915.794156
315.0,2151,6919.881616
570.0,2833,6925.294979
675.0,4109,6933.137098
265.0,2733,6938.405298
210.0,2503,6943.159796
300.0,2303,6947.575723
355.0,2749,6952.851409
450.0,3097,6958.766337
520.0,2319,6963.082043
285.0,2800,6968.074941
515.0,3917,6975.04327
480.0,3405,6980.9023
235.0,2605,6985.366252
490.0,3555,6991.474123
335.0,2545,6995.900253
360.0,2847,7000.874444
285.0,3107,7006.229918
450.0,3161,7011.790289
440.0,3163,7017.276662
385.0,2593,7021.71026
540.0,4251,7028.993913
320.0,3397,7034.926518
655.0,3241,7040.501503
395.0,3137,7045.893478
