#{"t_start": 1703935751.442305, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
240.0,2259,385.696899
365.0,2985,390.980954
135.0,1519,393.664181
210.0,2035,397.258101
80.0,1123,399.190306
210.0,2019,402.724468
80.0,1159,404.720997
230.0,2591,409.290053
155.0,1797,412.636318
235.0,3017,417.98401
345.0,3075,423.383356
230.0,2177,427.218233
315.0,2901,432.324544
110.0,1585,435.098658
395.0,3381,441.051033
210.0,1953,444.514474
355.0,3123,450.005914
505.0,2719,454.818063
140.0,1501,457.436795
140.0,1549,460.156259
170.0,2133,463.900647
210.0,2261,467.896851
210.0,2405,472.336599
310.0,2729,477.179856
945.0,4389,484.912881
175.0,1757,487.962463
125.0,1191,490.022022
235.0,2525,494.450846
410.0,3671,500.926201
150.0,1201,503.032261
345.0,2955,508.203577
300.0,2957,513.384277
370.0,2905,518.498049
165.0,1887,521.804185
135.0,1839,532.909866
150.0,1885,536.250362
560.0,3235,542.026736
335.0,2373,546.201437
310.0,2729,551.030381
240.0,1999,554.521968
235.0,2411,558.766854
330.0,2081,562.388074
540.0,2913,567.568823
220.0,2365,571.788789
380.0,2699,576.554797
425.0,3035,581.913754
210.0,1975,585.409812
210.0,2161,589.228523
230.0,2509,593.837397
255.0,2273,597.891974
545.0,3255,603.688238
600.0,3021,609.063638
505.0,2631,613.726454
215.0,2415,618.004696
240.0,2399,622.233229
185.0,1955,625.677574
285.0,1829,628.856776
320.0,3003,634.15534
345.0,2793,639.065874
155.0,1709,642.056627
235.0,2211,645.942854
725.0,4475,654.026492
210.0,1939,657.402735
395.0,2348,661.591032
365.0,2245,665.551093
210.0,2127,669.25736
230.0,1541,671.918703
335.0,2315,675.907855
265.0,2185,679.705166
210.0,1907,683.020855
375.0,2865,688.030082
60.0,1119,689.950749
175.0,1889,693.248625
560.0,2353,697.380038
510.0,2807,702.266699
605.0,4633,716.218275
210.0,1885,719.523161
510.0,2675,724.178703
155.0,1439,726.660043
250.0,2155,730.394473
80.0,1113,732.294664
300.0,2313,736.263771
245.0,2511,740.591543
80.0,1113,742.50622
335.0,2515,746.8956
